id	unitCode	title	media_count	media_id	object_type	medium	artist	date	topics
edanmdm-saam_1972.2.12	SAAM	Untitled	1.0	SAAM-1972.2.12_1	Painting	opaque watercolor and watercolor	Howard Russell Butler, born New York City 1856-died Princeton, NJ 1934		Landscapes|Boats and boating|Coasts|Architecture|Sailboats|Rocks
edanmdm-saam_1983.95.144	SAAM	Untitled (forest scene with bridge, cows in stream in foreground)	1.0	SAAM-1983.95.144_1	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1897	Bridges|Landscapes|Animals|Architecture|Cattle|Rivers
edanmdm-saam_1983.95.135	SAAM	Untitled (landscape with rocks)	1.0	SAAM-1983.95.135_1	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1898	Landscapes|Coasts|Rocks
edanmdm-saam_1983.95.138	SAAM	Cows	1.0	SAAM-1983.95.138_2	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	n.d.	Landscapes|Animals|Cattle|Plains
edanmdm-saam_1962.13.46	SAAM	North Transept, Winchester Cathedral, England	1.0	SAAM-1962.13.46_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1910	Landscapes|Architecture|Religion|Cemetery|Winchester Cathedral|Church buildings
edanmdm-saam_1910.9.15	SAAM	October Morning	1.0	SAAM-1910.9.15_1	Painting	oil on canvas	Frank A. Bicknell, born Augusta, ME 1866-died Essex, CT 1943	ca. 1910	Landscapes|Autumn|Morning|Time|Seasons
edanmdm-saam_1962.4.17	SAAM	Cherry Blossoms	1.0	SAAM-1962.4.17_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	n.d.	Trees|Landscapes|Cherry tree|Figure(s) in exterior
edanmdm-saam_1991.56.198	SAAM	Statues at Memnon, Thebes	1.0	SAAM-1991.56.198_1	Painting	pencil and watercolor on paper mounted on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	n.d.	Landscapes|Monuments|Statues|Colossi of Memnon|Sounding Statues of Memnon|Thebes
edanmdm-saam_1962.13.63	SAAM	Old House at Segovia, Spain	1.0	SAAM-1962.13.63_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1920	Architecture|Domestic|Cityscapes|Segovia|Dwellings
edanmdm-saam_1956.11.38	SAAM	Landscape	1.0	SAAM-1956.11.38_1	Painting	oil on canvas	J. Francis Murphy, born Oswego, NY 1853-died New York City 1921	ca. 1880-1890	Trees|Landscapes|Architecture|Roads|Domestic
edanmdm-saam_1983.95.128	SAAM	Untitled (landscape with rocks)	1.0	SAAM-1983.95.128_2	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1894	Weather|Landscapes|Coasts|Cloud|Rocks
edanmdm-saam_1909.7.25	SAAM	Hillside	1.0	SAAM-1909.7.25_1	Painting	oil on canvas	Edward Gay, born Mulligar, Ireland 1837-died Albany, NY 1928	1908	Landscapes
edanmdm-saam_1909.9.9	SAAM	Villa Malta, Rome	1.0	SAAM-1909.9.9_1	Painting	oil on canvas	Sanford Robinson Gifford, born Greenfield, NY 1823-died New York City 1880	1879	Villa Malta|Architecture|Castles|Cityscapes
edanmdm-saam_2000.50	SAAM	Tiger's Head	1.0	SAAM-2000.50_1	Painting	oil on canvas	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921	ca. 1874	Animals|Tiger
edanmdm-saam_1982.1.32	SAAM	Sunrise over Fishing Waters--Maine	1.0	SAAM-1982.1.32_1	Painting	oil on wood mounted on paperboard	William E. Norton, born Boston, MA 1843-died New York City 1916	ca. 1880	Landscapes|Coasts|Time|Sunrise|Waterscapes|Sea
edanmdm-saam_1950.2.26A	SAAM	White Birch Leaf Edge Caterpillar, study for book Concealing Coloration in the Animal Kingdom	1.0	SAAM-1950.2.26A_1	Painting	watercolor	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921		Leaves|Animals|Insects|Caterpillars|Foliage
edanmdm-saam_1962.4.20	SAAM	Chestnut Trees in Bloom	1.0	SAAM-1962.4.20_1	Painting	oil on canvas	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	n.d.	Trees|Landscapes|Chestnut tree|Seasons|Spring
edanmdm-saam_1962.13.40	SAAM	Cathedral at Monreale, Sicily	1.0	SAAM-1962.13.40_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1902	Sicily|Landscapes|Monreale|Architecture|Cloister|Religion|Church buildings
edanmdm-saam_1973.153	SAAM	Kalorama Cottage	1.0	SAAM-1973.153_2	Painting	oil on paperboard	John Ferguson Weir, born West Point, NY 1841-died Providence, RI 1926	ca. 1860	Landscapes|Architecture|Domestic|Forests and forestry|Kalorama|Dwellings
edanmdm-saam_1991.56.200	SAAM	Lago Maggiore, Italy	1.0	SAAM-1991.56.200_1	Painting	watercolor on paper mounted on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	n.d.	Landscapes|Lake Maggiore|Isola Madre
edanmdm-saam_1970.287	SAAM	Trees along Stream in Fall	1.0	SAAM-1970.287_1	Painting	oil on canvas	William Trost Richards, born Philadelphia, PA 1833-died Newport, RI 1905	1861	Trees|Landscapes|Autumn|Rivers|Seasons
edanmdm-saam_1952.13.3	SAAM	Church and Lake	1.0	SAAM-1952.13.3_1	Painting	watercolor on paper	Henry Bacon, born Haverhill, MA 1839-died Cairo, Egypt 1912	n.d.	Trees|Landscapes|Architecture|Lakes|Religion|Waterscapes|Church buildings
edanmdm-saam_1962.13.35	SAAM	Cathedral Tower, Pistoia, Italy	1.0	SAAM-1962.13.35_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1898	Architecture|Pistoia|Religion|Cityscapes|Bell tower|Church buildings
edanmdm-saam_1966.72	SAAM	Untitled	1.0	SAAM-1966.72_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	n.d.	Boats and boating|Landscapes|Canals|Waterscapes
edanmdm-saam_1991.56.50	SAAM	Moli at Palermo	1.0	SAAM-1991.56.50_1	Painting	pencil and watercolor on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	1854	Boats and boating|Landscapes|Architecture|Ships|Harbors|Waterscapes
edanmdm-saam_1983.83.268	SAAM	Sand Dunes, Harlech, North Wales	1.0	SAAM-1983.83.268_1	Painting	watercolor on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1899	Mountains|Landscapes|Wales|Harlech|Beaches
edanmdm-saam_1985.66.326_796	SAAM	Block House, Alaska, 1887	1.0	SAAM-1985.66.326796_1	Painting	watercolor on paper, mounted on paperboard	Theodore J. Richardson, born Readfield, ME 1855-died Minneapolis, MN 1914	1887	Landscapes|Architecture|Guardhouse|Military
edanmdm-saam_1910.9.4	SAAM	Circe	1.0	SAAM-1910.9.4_1	Painting	oil on canvas	Frederick Stuart Church, Grand Rapids, MI 1842-New York City 1924	1910	Landscapes|Cats|Coasts|Animals|Literature|Siren|Odyssey|Mythology|Homer|Circe
edanmdm-saam_1916.6.42	SAAM	Margin of a Moat	1.0	SAAM-1916.6.42_1	Painting	oil on canvas	Eliphalet Fraser Andrews, born Steubenville, OH 1835-died Washington, DC 1915	n.d.	Water|Landscapes|Animals|Architecture|Birds|Castles|Ducks
edanmdm-saam_1981.112	SAAM	The Hill Field	1.0	SAAM-1981.112_1	Painting	oil on canvas mounted on paperboard	Arthur Wesley Dow, born Ipswich, MA 1857-died New York City 1922	1908-1910	Landscapes|Farms|Summer|Seasons
edanmdm-saam_1966.34.4	SAAM	Watercolor no. 31, Landscape with Clouds	1.0	SAAM-1966.34.4_1	Painting	watercolor	Allen Tucker, born Brooklyn, NY 1866-died New York City 1939	ca. 1930	Weather|Landscapes|Cloud
edanmdm-saam_1989.43.7	SAAM	Two Gulls and Cliffs	1.0	SAAM-1989.43.7_2	Painting	oil on fiberboard	Louis M. Eilshemius, born Arlington, NJ 1864-died New York City 1941	ca. 1913-1921	Mountains|Landscapes|Boats and boating|Coasts|Animals|Architecture|Sailboats|Birds|Gulls
edanmdm-saam_1962.13.48	SAAM	Durham Cathedral, England	1.0	SAAM-1962.13.48_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1913	Landscapes|Architecture|Religion|Durham Cathedral|Church buildings
edanmdm-saam_1929.6.77	SAAM	The Sprout Lot	1.0	SAAM-1929.6.77_1	Painting	oil on canvas	J. Francis Murphy, born Oswego, NY 1853-died New York City 1921	1915	Trees|Landscapes|Plains
edanmdm-saam_1991.56.174	SAAM	Radicofane	1.0	SAAM-1991.56.174_1	Painting	pencil and watercolor on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	1841	Mountains|Foreign|Radicofane|Landscapes|Architecture|Fort|Military
edanmdm-saam_1930.12.38	SAAM	Sketch on the Potomac	1.0	SAAM-1930.12.38_1	Painting	watercolor on paper	Lorenzo J. Hatch, born Hartford, NY 1857-died Peking, China 1914	1883	Boats and boating|Landscapes|Rivers|Waterscapes
edanmdm-saam_1963.11.5	SAAM	Pastoral Landscape	1.0	SAAM-1963.11.5_1	Painting	watercolor	Carl Weber, born Philadelphia, PA 1850-died Ambler, PA 1921	n.d.	Trees|Water|Landscapes|Animals|Architecture|Domestic|Sheep|Fence|Detail
edanmdm-saam_1985.66.407	SAAM	Dying Buffalo, Shot with an Arrow	1.0	SAAM-1985.66.407_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1832-1833	Hunter|Animals|Occupations|Buffaloes
edanmdm-saam_1952.13.160	SAAM	Hill and Marshland	1.0	SAAM-1952.13.160_1	Painting	oil on canvas	Max Weyl, born Muhlen-on-Neckar, Germany 1837-died Washington, DC 1914	n.d.	Landscapes|Marshes
edanmdm-saam_1983.95.67	SAAM	Sunrise	1.0	SAAM-1983.95.67_1	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	n.d.	Water|Landscapes|Forests and forestry|Time|Sunrise
edanmdm-saam_1909.7.30	SAAM	My Day at Home	1.0	SAAM-1909.7.30_1	Painting	oil on canvas	William H. Howe, born Ravenna, OH 1846-died Bronxville, NY 1929	1906	Animals|Architecture|Farms|Cattle
edanmdm-saam_1962.13.18	SAAM	Southwest Tower, Amiens Cathedral	1.0	SAAM-1962.13.18_1	Painting	watercolor on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1880	Architecture|Religion|Cityscapes|Amiens Cathedral|Bell tower|Church buildings
edanmdm-saam_1953.11.3	SAAM	The Placid Potomac	1.0	SAAM-1953.11.3_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	n.d.	Landscapes|Rocks|Rivers
edanmdm-saam_1965.11.1	SAAM	The Hills	1.0	SAAM-1965.11.1_1	Painting	oil on canvas	Preston Dickinson, born New York City 1889-died Irun, Spain 1930	ca. 1919	Mountains|Landscapes|Architecture|Farms|Farmhouse|Domestic
edanmdm-saam_1985.45	SAAM	Wooded Landscape with Bridge	1.0	SAAM-1985.45_1	Painting	oil and pencil on canvas mounted on linen	Unidentified	ca. 1860-1870	Bridges|Trees|Trains|Landscapes|Architecture|Summer|Rivers|Seasons|Vehicles
edanmdm-saam_1985.66.373	SAAM	Beautiful Grassy Bluffs, 110 Miles above St. Louis	1.0	SAAM-1985.66.373_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1832	Western|Landscapes|Plains|Rivers
edanmdm-saam_1929.6.115	SAAM	Cornish Headlands	1.0	SAAM-1929.6.115_2	Painting	oil on canvas	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921	1898	Landscapes|Cornwall|Coasts|Channel|Waterscapes
edanmdm-saam_1966.112	SAAM	In the Cascade Mountains	1.0	SAAM-1966.112_1	Painting	oil on canvas	Edward Bruce, born Dover Plains, NY 1879-died Hollywood, FL 1943	1931	Mountains|Landscapes|Cascade Mountains|Rivers
edanmdm-saam_1929.6.140	SAAM	Hemlock Pool	1.0	SAAM-1929.6.140_1	Painting	oil on canvas	John Henry Twachtman, born Cincinnati, OH 1853-died Gloucester, MA 1902	ca. 1890-1900	Water|Landscapes|Greenwich
edanmdm-saam_1981.155.3	SAAM	In the Desert	1.0	SAAM-1981.155.3_1	Painting	oil on canvas	H. Siddons Mowbray, born Alexandria, Egypt 1858-died Washington, CT 1928	1915-1925	Landscapes|Religion|Bible, N.T.|Deserts|Angels|Jesus Christ
edanmdm-saam_1930.12.57	SAAM	On the Steamer Bremen, off Nova Scotia, 1880	1.0	SAAM-1930.12.57_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	1880	Boats and boating|Landscapes|Coasts|Architecture|Steamer|Bremen (Ship)|Waterscapes
edanmdm-saam_1962.13.29	SAAM	Courtyard, Capucine Monastery, Amalfi	1.0	SAAM-1962.13.29_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1898	Monastery|Landscapes|Architecture|Religion|Capuchin Monastery
edanmdm-saam_1965.12	SAAM	Cotopaxi	1.0	SAAM-1965.12_2-000001	Painting	oil on canvas	Frederic Edwin Church, born Hartford, CT 1826-died New York City 1900	1855	Volcano|Mountains|Landscapes|Architecture|Mount Cotopaxi|Domestic|Tropic|Dwellings
edanmdm-saam_1983.95.185	SAAM	Abraham's Oak	1.0	SAAM-1983.95.185_1	Painting	oil on canvas	Henry Ossawa Tanner, born Pittsburgh, PA 1859-died Paris, France 1937	1905	Trees|Landscapes|Religion|Bible, O.T.|Oak tree
edanmdm-saam_1975.43	SAAM	Barnyard in Winter	1.0	SAAM-1975.43_1	Painting	oil on canvas	Horatio Shaw, born Dover Township, MI 1847-died Cadmus, MI 1918	ca. 1885-1890	Landscapes|Animals|Farmers|Winter|Architecture|Farms|Occupations|Birds|Chicken|Time|Sunrise|Seasons
edanmdm-saam_1973.69.1	SAAM	Richmond	1.0	SAAM-1973.69.1_1	Painting	watercolor on paper	Elizabeth Boott Duveneck, born Cambridge, MA 1846-died Paris, France 1888	1884	Landscapes|Animals|Cattle
edanmdm-saam_1985.66.580	SAAM	Elk and Buffalo Grazing among Prairie Flowers, Texas	1.0	SAAM-1985.66.580_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1846-1848	Western|Landscapes|Animals|Plains|Buffaloes
edanmdm-saam_1974.28.106	SAAM	(Untitled)	1.0	SAAM-1974.28.106_1	Painting	watercolor on paper mounted on paperboard	Unidentified (American)	1936	Landscapes|New Deal, 1933-1939
edanmdm-saam_1982.112	SAAM	A North Woods Lake	1.0	SAAM-1982.112_2	Painting	oil on canvas	Homer Dodge Martin, born Albany, NY 1836-died St. Paul, MN 1897	1867	Mountains|Landscapes|Autumn|Lakes|Forests and forestry|Seasons
edanmdm-saam_1961.8.1	SAAM	Haines Point	1.0	SAAM-1961.8.1_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	1908	Landscapes|Animals|Haines Point|Birds|Rivers|Parks|Ducks
edanmdm-saam_1958.5.2	SAAM	Mammoth Hot Springs, Yellowstone	1.0	SAAM-1958.5.2_1	Painting	watercolor and pencil on paper	Thomas Moran, born Bolton, England 1837-died Santa Barbara, CA 1926	1872	Mountains|Yellowstone National Park|Hot spring|Landscapes|Parks
edanmdm-saam_1950.2.13	SAAM	Roseate Spoonbills, study for book Concealing Coloration in the Animal Kingdom	1.0	SAAM-1950.2.13_1	Painting	oil on paperboard	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921	ca. 1905-1909	Water|Landscapes|Animals|Birds|Ducks
edanmdm-saam_1970.183	SAAM	Boston Harbor	1.0	SAAM-1970.183_1	Painting	oil on canvas	Charles Manger, born ca. 1832-died after 1870	ca. 1860-1869	Boston Harbor|Description and travel|Landscapes|Ships|Harbors|Waterscapes
edanmdm-saam_1983.95.195	SAAM	Angels Appearing before the Shepherds	1.0	SAAM-1983.95.195_1	Painting	oil on canvas	Henry Ossawa Tanner, born Pittsburgh, PA 1859-died Paris, France 1937	ca. 1910	Shepherd|Animals|Religion|Sheep|Bible, N.T.|Angels
edanmdm-saam_1929.6.97	SAAM	In the Stable	1.0	SAAM-1929.6.97_1	Painting	oil on canvas mounted on fiberboard	Albert Pinkham Ryder, born New Bedford, MA 1847-died New York City 1917	before 1911	Animals|Farmers|Architecture|Farms|Occupations|Horses|Stable
edanmdm-saam_1987.67	SAAM	Looking out of Battle Harbor	1.0	SAAM-1987.67_1	Painting	oil on canvas	William Bradford, born Fairhaven, MA 1823-died New York City 1892	1877	Sailing ships|Weather|Boats and boating|Landscapes|Architecture|Cloud|Iceberg|Harbors|Waterscapes
edanmdm-saam_1966.5	SAAM	Oak Tree	1.0	SAAM-1966.5_2	Painting	oil on canvas	Henry Ward Ranger, born Syracuse, NY 1858-died New York City 1916	1895	Trees|Landscapes|Forests and forestry|Rivers|Oak tree
edanmdm-saam_1985.66.339	SAAM	Sault Ste. Marie, Showing the United States Garrison in the Distance	1.0	SAAM-1985.66.339_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1836-1837	Western|Sault Ste. Marie|Landscapes|Architecture|Cities and towns|Fort|Cityscapes|Military
edanmdm-saam_1930.12.66	SAAM	View on the Potomac	1.0	SAAM-1930.12.66_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	1930	Landscapes|Rivers
edanmdm-saam_1936.12.3	SAAM	Central Park and the Plaza	1.0	SAAM-1936.12.3_1	Painting	oil on canvas	William A. Coffin, born Allegheny, PA 1855-died New York City 1925	1917-1918	Water|Commercial|Landscapes|Plaza Hotel|Night|Architecture|Light|Cityscapes|Time|Parks|Hotel
edanmdm-saam_1962.4.8	SAAM	Field of Wheat Shock	1.0	SAAM-1962.4.8_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	n.d.	Landscapes|Farms
edanmdm-saam_1968.19.4	SAAM	Newman's House	1.0	SAAM-1968.19.4_1	Painting	oil on canvas	H. Lyman Saÿen, born Philadelphia, PA 1875-died Philadelphia, PA 1918	1915	Landscapes|Bethayres
edanmdm-saam_1962.13.33	SAAM	St. Martin's Church, Utrecht, Holland	1.0	SAAM-1962.13.33_1	Painting	watercolor on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1898	Roof|Animals|Architecture|Religion|Birds|St. Martin's Church|Bell tower|Chimney|Church buildings|Detail
edanmdm-saam_1985.88	SAAM	New Hampshire Lake--Raymond	1.0	SAAM-1985.88_1	Painting	watercolor on paper	Charles W. Hawthorne, born Lodi, IL 1872-died Baltimore, MD 1930	1927	Landscapes|Raymond|Lakes|Waterscapes
edanmdm-saam_1962.4.16	SAAM	Michigan	1.0	SAAM-1962.4.16_1	Painting	watercolor	William Henry Holmes, born Cadiz, OH 1846-died Royal Oak, MI 1933	1932	Landscapes|Plains
edanmdm-saam_1991.56.85	SAAM	Asia Minor	1.0	SAAM-1991.56.85_1	Painting	watercolor and pencil on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	1845	Landscapes
edanmdm-saam_1974.28.77	SAAM	(Untitled)	1.0	SAAM-1974.28.77_1-000001	Painting	oil on paperboard	Unidentified (American)	1934	Landscapes|Architecture|Gazebo|Public Works of Art Project|New Deal, 1933-1939|Rivers
edanmdm-saam_1952.13.151	SAAM	Vieilles Maisons (Paris)	1.0	SAAM-1952.13.151_1	Painting	oil on canvas	Frank Edwin Scott, born Buffalo, NY 1863-died Paris, France 1929	n.d.	Architecture|Monuments|Domestic|Arch|Cityscapes|Apartment
edanmdm-saam_1952.13.106	SAAM	Eglise de Ville	1.0	SAAM-1952.13.106_1	Painting	oil on wood	Frank Edwin Scott, born Buffalo, NY 1863-died Paris, France 1929	n.d.	Architecture|Religion|Cityscapes|Church buildings
edanmdm-saam_1994.56	SAAM	View of the Lower Falls, Grand Canyon of the Yellowstone	1.0	SAAM-1994.56_1	Painting	oil on canvas	Grafton Tyler Brown, born Harrisburg, PA 1841-died St. Peter, MN 1918	1890	Weather|Trees|Pine tree|Yellowstone National Park|Landscapes|Grand Canyon of the Yellowstone|Waterfalls|Canyon|Rivers|Yellowstone River|Parks
edanmdm-saam_1950.2.5	SAAM	Red Flamingoes, study for book Concealing Coloration in the Animal Kingdom	1.0	SAAM-1950.2.5_1	Painting	oil on wood	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921	ca. 1905-1909	Water|Landscapes|Animals|Flamingo|Birds
edanmdm-saam_1916.6.41	SAAM	Interior of a Smithy	1.0	SAAM-1916.6.41_1	Painting	Oil on canvas	Eliphalet Fraser Andrews, born Steubenville, OH 1835-died Washington, DC 1915	n.d.	Industrialization|Architecture|Smithy|Occupations|Crafts
edanmdm-saam_1983.95.145	SAAM	Untitled (five cows in pasture)	1.0	SAAM-1983.95.145_1	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	ca. 1884-1886	Landscapes|Animals|Architecture|Farms|Cattle|Farmhouse|Domestic|Fence|Detail
edanmdm-saam_1925.1.1	SAAM	The Patriarchs, Zion National Park	1.0	SAAM-1925.1.1_1	Painting	watercolor on paperboard	Gunnar Widforss, born Stockholm, Sweden 1879-died Grand Canyon, AZ 1934	1924	Mountains|Water|Landscapes|Rocks|Zion National Park|Parks
edanmdm-saam_1950.2.22B	SAAM	Oak Leaf Edge Caterpillar, study for book Concealing Coloration in the Animal Kingdom	1.0	SAAM-1950.2.22B_1	Painting	watercolor	Gerald H. Thayer, born Cornwall-on-Hudson, NY 1883-died Keene, NH 1939		Animals|Insects|Caterpillars
edanmdm-saam_1983.83.187	SAAM	Sunset, Oxford	1.0	SAAM-1983.83.187_1	Painting	watercolor on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1899	Sunset|Landscapes|Time|Oxford
edanmdm-saam_1985.66.386_502	SAAM	Portraits of Two Grizzly Bears, From Life	1.0	SAAM-1985.66.386502_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1839-1840	Animals|Bears
edanmdm-saam_1929.6.116A-B	SAAM	Flower Studies	1.0	SAAM-1929.6.116A-B_1	Painting	oil on canvas	Abbott Handerson Thayer, born Boston, MA 1849-died Dublin, NH 1921	ca. 1886	Landscapes|Plants|Water lily
edanmdm-saam_1929.6.134	SAAM	"Landscape Called ""The Acorn"""	1.0	SAAM-1929.6.134_1	Painting	oil on wood	James Crawford Thom, born New York City 1835-died Atlantic Highlands, NJ 1898	n.d.	Landscapes|Plains
edanmdm-saam_1983.83.279	SAAM	Porth Dinlleyn, North Wales	1.0	SAAM-1983.83.279_1	Painting	watercolor and pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1899	Mountains|Water|Landscapes|Wales|Cityscapes|Porth Dinlleyn
edanmdm-saam_1962.13.8	SAAM	Antwerp Cathedral	1.0	SAAM-1962.13.8_1	Painting	watercolor and pencil on paper	Cass Gilbert, born Zanesville, OH 1858-died Brockenhurst, England 1934	1899	Architecture|Religion|Cityscapes|Church buildings|Antwerp Cathedral
edanmdm-saam_1983.95.72	SAAM	Untitled (five cows in pasture, rooftop in background)	1.0	SAAM-1983.95.72_2	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1894	Landscapes|Animals|Farms|Cattle
edanmdm-saam_1977.1.2	SAAM	Untitled	1.0	SAAM-1977.1.2_1	Painting	oil on canvas	Jasper Francis Cropsey, born Rossville, NY 1823-died Hastings-on-Hudson, NY 1900	1876	Mountains|Landscapes
edanmdm-saam_1985.66.596-U	SAAM	Landscape Background	1.0	SAAM-1985.66.596-U_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1846-1848	Western|Landscapes
edanmdm-saam_1909.11.2	SAAM	Morning Haze	1.0	SAAM-1909.11.2_1	Painting	oil on canvas	Leonard Ochtman, born Zonnemaire, Netherlands 1854-died Cos Cob, CT 1934	1909	Weather|Landscapes|Winter|Haze|Morning|Time|Seasons
